Name	Set	ImageFile	Cost_Influence	Type	SubType	Diplomacy	Intrigue	Psi	Leadership	Military	Marks	Rarity	Fixeds	Collector	Text
A Brighter Future [Pr]	Premier	01-001	  	Conflict	Diplomacy	  	  	  	  	  		Rare 2		01-001 R2	If this conflict succeeds by 10 or more, this card becomes a Babylon 5 enhancement. While it is in play, Babylon 5 gains +1 influence each turn there is no war. If the conflict succeeds by 20 or more, Babylon 5 gains an additional +1 influence each turn no one initiates a Military conflict.
A Good Bluff [Pr]	Premier	01-002	1	Event		  	  	  	  	  		Common	Non-Aligned	01-002 C2	All players may use Diplomacy to support or oppose a target Intrigue conflict.
A Rising Power [Pr]	Premier	01-003	  	Agenda		  	  	  	  	  		Common		01-003 C2	Rotate this agenda to provide +5 support to any Diplomacy conflict that will give you influence.  Count each 10 Diplomacy you have from ready characters you control as +1 power.
Accident [Pr]	Premier	01-004	3	Event		  	  	  	  	  		Common		01-004 C2	Target one character or fleet.  Target suffers 1 point of damage.
Adira Tyree [Pr]	Premier	01-005	5	Character	Centauri	  	3	  	  	  		Fixed	Centauri	01-005 F2	After every time Adira Tyree attacks or is attacked without being neutralized, she gains +1 Intrigue. [ERRATA]
Affirm Alliance	Premier	01-006	  	Event		  	  	  	  	  		Fixed	Centauri, Human, Narn	01-006 F2	Rotate your ambassador to sponsor or promote a character at a cost reduced by half the ambassador's Diplomacy.
Affirmation of Peace	Premier	01-007	  	Conflict	Diplomacy	  	  	  	  	  		Fixed	Human, Minbari	01-007 F2	If this conflict succeeds, all tensions for all players are lowered by 1. Also if this conflict succeeds, hold a Babylon 5 vote. if the vote passes you and Babylon 5 each gain 2 influence.
Affirmation of Power [Pr]	Premier	01-008	  	Conflict	Diplomacy	  	  	  	  	  		Fixed	Human, Minbari	01-008 F2	If successful, you and Babylon 5 each gain 1 influence.  If the conflict succeeds by 10 or more, you and Babylon 5 each gains an additional influence.  If the conflict fails, you and Babylon 5 each lose 1 influence.
Alliance of Races	Premier	01-009	  	Agenda	Human	  	  	  	  	  		Fixed	Human	01-009 F2	You may transfer 1 influence per turn to Babylon 5.  If Babylon 5 reaches 20 influence before the Shadow War begins, count Babylon 5's influence as power.
Alliance [Pr]	Premier	01-010	  	Conflict	Diplomacy	  	  	  	  	  		Common	Non-Aligned	01-010 C2	Target another race with whom you have a mutual tension of 1 and no Alliance.   If successful, there is a state of Alliance between your two races.  You each gain +1 influence for each 5 influence your ally has. If your two races ever go to war, the state of Alliance ends and you each lose 1 influence for each 5 influence your ally has. [ERRATA]
Approval of the Grey [Pr]	Premier	01-011	  	Aftermath	Minbari Won	  	  	  	  	  		Fixed	Minbari	01-011 F2	Target one of your supporting characters who is a Grey Council member. Promote that character to the Inner Circle.
Armed Resistance [Pr]	Premier	01-012	4	Enhancement	Location	  	  	  	  	  		Uncommon		01-012 U2	Target a location you played which was conquered.  The unrest level of the current controller of the location increases by 1.  You may initiate an extra Intrigue conflict each turn.  If you win this conflict by 10 or more, you reconquer the location and this enhancement is discarded.
Armistice [Pr]	Premier	01-013	  	Event		  	  	  	  	  		Common		01-013 C2	Rotate your ambassador.  If the mutual tensions of two races at war are each below 4, the war ends during the draw round.
As It Was Meant To Be [Pr]	Premier	01-014	  	Agenda	Major	  	  	  	  	  	Destiny	Rare 2		01-014 R2	If the top card on your discard pile is a character, enhancement, group or fleet you may purge a Destiny Mark as an action to put that card into your hand.  Your ambassador gains a Destiny mark each time you initiate and win a conflict.  Count each character you control with a Destiny Mark as 1 power. [ERRATA]
Ashan [Pr]	Premier	01-015	4	Character	Minbari	1	1	  	  	  		Fixed	Minbari	01-015 F2	Religious Caste.
Assault Troops [Pr]	Premier	01-016	4	Enhancement	Faction	  	  	  	  	  		Uncommon		01-016 U2	For every influence the target player applies, he may apply +2 Military support to a Military conflict targeting a location.
Assigning Blame	Premier	01-017	  	Aftermath	Lost	  	  	  	  	  		Fixed	Human, Minbari, Narn	01-017 F2	Target ambassador loses 2 Diplomacy.
Attacking Pawns [Pr]	Premier	01-018	  	Conflict	Intrigue	  	  	  	  	  	Doom	Common		01-018 C2	Your ambassador gains a Doom Mark.  Target another player's supporting character. If you succeed by 5 or more, discard the target character. If you succeed by 10 or more, gain +1 influence. [ERRATA]
